"'Age","'0-14","'15-19","'20-24","'25-29","'30-64","'65 plus",
"'Male","'8.9%","'3.2%","'3.5%","'3.5%","'23.3%","'7.3%",
"'Female","'8.5%","'3.1%","'3.4%","'3.3%","'22.9%","'9.2%",
,,,,,,

'Confidence Scores % (Table Cell)
"'92.18750000","'89.06250000","'92.18750000","'92.28515625","'92.48046875","'90.67382813","'91.21093750",
"'87.30468750","'84.37500000","'87.30468750","'87.40234375","'87.59765625","'85.88867188","'86.42578125",
"'91.06445313","'87.98828125","'91.06445313","'91.16210938","'91.35742188","'89.55078125","'90.13671875",
