"'Age","'0-14","'15-19","'20-24","'25-29","'30-64","'65 plus",
"'Male","'8.9%","'3.2%","'3.5%","'3.5%","'23.3%","'7.3%",
"'Female","'8.5%","'3.1%","'3.4%","'3.3%","'22.9%","'9.2%",
,,,,,,

'Confidence Scores % (Table Cell)
"'91.99218750","'90.28320313","'92.67578125","'92.77343750","'92.57812500","'90.57617188","'90.77148438",
"'86.76757813","'85.15625000","'87.40234375","'87.54882813","'87.30468750","'85.44921875","'85.59570313",
"'91.30859375","'89.59960938","'91.94335938","'92.08984375","'91.84570313","'89.89257813","'90.08789063",
